"hour","member_casual","total_trips"
"0","member","34128"
"0","casual","43666"
"1","member","21133"
"1","casual","28840"
"2","member","11932"
"2","casual","18222"
"3","member","7294"
"3","casual","10721"
"4","casual","7854"
"4","member","8587"
"5","member","32791"
"5","casual","12028"
"6","member","89233"
"6","casual","26922"
"7","casual","49247"
"7","member","169381"
"8","member","198619"
"8","casual","64809"
"9","casual","68944"
"9","member","140174"
"10","casual","89301"
"10","member","132025"
"11","casual","115666"
"11","member","157225"
"12","casual","136064"
"12","member","180764"
"13","casual","142713"
"13","member","178554"
"14","casual","149396"
"14","member","176921"
"15","member","210632"
"15","casual","165250"
"16","member","279513"
"16","casual","183778"
"17","member","338400"
"17","casual","208623"
"18","member","276633"
"18","casual","187856"
"19","member","197415"
"19","casual","143074"
"20","member","138482"
"20","casual","104466"
"21","casual","90540"
"21","member","107945"
"22","member","82827"
"22","casual","83679"
"23","casual","61802"
"23","member","54836"
